time,GPD,IPI
1,91.21,92.91
2,91.94,91.07
3,104.64,100.56
4,100.89,93.55
5,105.58,102.82
6,105.56,104.17
7,104.3,109.24
8,101.65,108.04
9,103.11,110.8
10,103.86,112.89
11,99.2,104.7
12,96.86,95.32
13,92.52,93.06
14,93.34,92.61
15,101.81,93.63
16,98.81,87.44
17,100.35,90.63
18,103.5,94.09
19,100.51,97.54
20,95.14,94.98
21,92.84,92.36
22,94.19,94.84
23,90.49,88.87
24,89.75,81.21
25,85.7,79.08
26,85.99,78.33
27,101.79,92.84
28,99.37,87.27
29,101.66,92.64
30,104.37,97.21
31,100.95,100.67
32,101.08,102.84
33,98.79,99.41
34,97.03,97.47
35,94.21,91.5
36,92.41,82.34
37,84.04,76.99
38,83.37,74.15
39,97.34,87.57
40,93.58,79.32
41,99.15,87.92
42,100.05,88.58
43,96.31,89.54
44,98.39,96.6
45,95.09,93.19
46,95.1,95.22
47,93.42,91.75
48,91.97,83.72
49,86.23,80.02
50,90.12,83.45
51,99.39,85.62
52,96.62,82.56
53,103.17,94.04
54,106.0,96.75
55,102.85,100.42
56,102.87,103.26
57,98.66,97.89
58,104.44,106.34
59,99.56,98.96
60,97.31,89.4
61,94.98,91.86
62,93.63,84.99
63,106.54,94.94
64,102.67,85.21
65,108.59,96.3
66,111.52,99.35
67,112.07,109.85
68,111.12,111.97
69,109.95,110.15
70,115.52,120.3
71,108.58,108.83
72,106.94,99.96
73,104.43,102.07
74,101.8,96.05
75,110.61,98.23
76,114.15,102.26
77,116.09,106.62
78,119.18,112.87
79,119.57,122.14
80,118.56,121.01
81,121.68,127.42
82,125.72,133.06
83,116.04,117.97
84,112.46,106.74
85,109.51,108.57
86,110.78,107.86
87,121.56,112.0
88,122.27,110.9
89,123.44,112.24
90,126.9,114.76
91,121.21,114.43
92,119.77,115.3
93,122.08,120.6
94,123.48,123.51
95,118.57,115.22
96,113.22,102.77
97,107.24,98.94
98,109.4,98.57
99,126.15,112.11
100,120.8,102.26
101,122.16,105.83
102,128.57,116.7
103,123.12,116.74
104,125.65,123.82
105,122.97,119.03
106,118.37,113.68
107,115.51,107.12
108,113.53,99.3
109,106.29,96.94
110,104.61,88.91
111,121.89,101.98
112,122.66,99.86
113,127.26,111.69
114,133.94,121.94
115,130.28,125.37
116,132.88,133.12
117,128.43,124.36
118,129.66,128.06
119,124.28,118.02
120,116.71,102.3
121,111.89,101.81
122,110.3,96.5
123,118.88,98.52
124,105.09,72.21
125,120.14,99.62
126,122.64,101.87
127,124.83,114.98
128,128.69,122.05
129,123.17,114.84
130,124.21,118.42
131,116.82,106.66
132,107.17,84.68
133,103.71,85.98
134,100.19,78.87
135,111.8,86.94
136,121.61,99.08
137,125.34,104.9
138,127.2,105.82
139,128.81,116.44
140,127.44,117.39
141,121.95,106.93
142,124.75,113.89
143,116.39,100.65
144,108.27,83.12
145,104.57,84.42
146,108.54,88.86
147,119.85,92.53
148,119.67,91.2
149,120.98,94.87
150,125.71,99.79
151,122.54,104.59
152,119.02,102.49
153,118.77,102.12
154,118.64,104.08
155,116.32,100.77
156,112.0,89.52
157,106.46,87.91
158,107.84,87.72
159,128.06,104.58
160,125.61,98.82
161,129.07,106.75
162,130.61,107.52
163,126.45,112.46
164,125.56,113.09
165,123.32,108.84
166,122.58,109.37
167,121.3,107.78
168,119.04,97.13
169,113.85,95.53
170,112.6,90.96
171,134.17,109.77
172,129.5,100.0
173,134.97,112.22
174,135.19,112.07
175,130.09,114.5
176,135.38,124.92
177,134.06,121.56
178,132.4,120.75
179,133.06,120.56
180,133.09,114.13
181,126.24,111.42
182,125.79,106.43
183,147.23,124.22
184,139.64,111.44
185,139.11,110.4
186,141.11,115.85
187,134.2,114.64
188,136.3,118.0
189,132.47,113.08
190,134.89,117.76
191,133.53,115.27
192,128.48,100.57
193,124.29,102.03
194,124.61,99.76
195,139.73,109.48
196,140.99,108.89
197,145.1,117.47
198,141.55,111.45
199,144.65,125.93
200,142.92,124.98
201,141.2,122.22
202,143.56,127.74
203,138.87,121.79
204,135.55,108.63
205,129.94,108.5
206,127.69,102.83
207,144.25,114.71
208,149.5,117.59
209,148.88,121.07
210,149.5,122.96
211,146.84,128.31
212,145.69,128.6
213,148.2,130.86
214,149.43,134.75
215,140.24,120.67
216,135.12,105.29
