time,level
6,3.93
9,4.58
12,4.8
15,5.07
18,5.14
21,4.94
24,4.94
27,4.77
30,4.77
33,4.75
36,4.6
39,4.71
42,4.6
45,4.58
48,4.58
51,4.54
54,4.61
57,4.72
60,4.76
63,4.52
66,4.6
69,4.28
72,3.87
75,4.03
78,3.74
81,3.72
84,4.08
87,4.13
90,4.05
93,3.88
96,3.84
99,3.85
102,3.94
105,4.07
108,3.92
111,3.56
114,3.77
117,3.9
120,3.85
123,3.71
126,3.98
129,4.43
132,4.88
135,4.79
138,4.93
141,5.06
144,5.09
147,5.0
150,4.76
153,4.95
156,4.9
159,4.89
162,4.88
165,4.9
168,4.91
171,4.78
174,4.66
177,4.86
180,4.82
183,4.68
186,4.6
189,4.53
192,4.6
195,4.4
198,3.93
201,3.8
204,3.97
207,3.96
210,3.75
213,3.92
216,4.01
219,4.51
222,4.59
225,4.62
228,4.62
231,4.42
234,4.22
237,3.87
240,4.1
243,4.45
246,4.67
249,4.82
252,4.81
255,4.73
258,4.91
261,4.77
264,4.74
267,4.89
270,4.9
273,4.64
276,4.57
279,4.5
282,4.05
285,3.98
288,4.11
291,4.3
294,4.42
297,4.52
300,4.4
303,4.31
306,4.22
309,4.31
312,4.08
315,3.81
318,4.07
321,3.69
324,3.73
327,3.25
330,3.6
333,3.81
336,4.6
339,5.27
342,5.16
345,5.06
348,4.68
351,4.82
354,4.87
357,4.73
360,4.8
363,4.64
366,4.54
369,4.59
372,4.59
375,4.45
378,4.47
381,4.41
384,4.29
387,4.2
390,3.95
393,3.85
396,3.88
399,3.71
402,3.49
405,3.5
408,3.45
411,3.64
414,4.01
417,4.53
420,4.99
423,4.69
426,4.4
429,4.41
432,4.58
435,4.63
438,4.68
441,4.63
444,4.66
447,4.39
450,4.63
453,4.58
456,4.48
459,4.41
462,4.4
465,4.31
468,4.17
471,4.06
474,4.03
477,3.89
480,3.79
483,3.79
486,3.84
489,3.89
492,3.89
495,3.85
498,3.77
501,3.78
504,4.01
507,4.18
510,4.23
513,4.28
516,4.2
519,4.22
522,3.96
525,4.07
528,4.1
531,4.28
534,4.62
537,4.42
540,4.31
543,4.32
546,4.5
549,4.6
552,4.6
555,4.55
558,4.34
561,4.09
564,3.85
567,3.74
570,3.63
573,3.63
576,3.71
579,4.04
582,4.41
585,4.26
588,4.07
591,4.16
594,4.1
597,4.29
600,4.07
603,4.11
606,3.98
609,3.81
612,3.71
615,3.76
618,4.01
621,4.51
624,5.03
627,4.98
630,4.77
633,4.95
636,5.02
639,4.95
642,4.82
645,4.83
648,4.84
651,4.78
654,4.81
657,4.78
660,4.7
663,4.66
666,4.7
669,4.41
672,4.62
675,4.41
678,4.41
681,4.31
684,4.26
687,4.2
690,4.07
693,3.91
696,3.98
699,4.07
702,4.25
705,4.27
708,4.27
711,4.45
714,4.69
717,4.79
720,4.92
723,4.77
726,4.39
729,4.36
732,4.3
735,4.32
738,4.34
741,4.36
744,4.33
747,4.66
750,4.76
753,4.72
756,4.64
759,4.67
762,4.51
765,4.38
768,4.45
771,4.6
774,4.24
777,4.02
780,3.83
783,3.71
786,3.73
789,3.95
792,4.61
795,4.64
798,4.71
801,4.65
804,4.67
807,4.34
810,4.19
813,3.95
816,4.14
819,4.12
822,4.06
825,4.06
828,4.09
831,4.12
834,3.98
837,3.86
840,3.87
843,3.82
846,3.71
849,3.94
852,3.83
855,3.66
858,3.72
861,3.83
864,4.0
867,4.49
870,4.62
873,5.06
876,5.01
879,4.92
882,4.79
885,4.75
888,4.7
891,4.62
894,4.62
897,4.37
900,4.29
903,4.27
906,4.18
909,4.29
912,4.48
915,4.52
918,4.61
921,4.49
924,4.46
927,4.2
930,4.26
933,4.03
936,3.83
939,3.91
942,3.97
945,3.65
948,3.36
951,3.46
954,3.57
957,3.82
960,4.18
963,4.52
966,4.46
969,4.24
972,4.27
975,4.08
978,4.09
981,4.14
984,4.13
987,4.08
990,4.2
993,4.12
996,3.98
999,4.04
1002,4.3
1005,4.15
1008,4.31
1011,4.17
1014,4.07
1017,3.9
1020,3.99
1023,3.95
1026,3.85
1029,4.01
1032,4.41
1035,4.57
1038,4.51
1041,4.39
1044,4.3
1047,4.27
1050,4.37
1053,4.37
1056,4.39
1059,4.06
1062,3.61
1065,3.48
1068,3.44
1071,3.44
1074,3.55
1077,3.74
1080,3.95
1083,4.07
1086,4.06
1089,4.2
1092,4.16
1095,4.2
1098,4.26
1101,4.43
1104,4.22
1107,4.09
1110,3.93
1113,3.79
1116,4.26
1119,4.62
1122,4.26
1125,4.61
1128,4.62
1131,4.42
1134,4.53
1137,4.2
1140,4.17
1143,4.15
1146,4.0
1149,3.96
1152,3.98
1155,3.97
1158,3.74
1161,3.74
1164,3.69
1167,3.83
1170,3.9
1173,3.93
1176,3.88
1179,3.88
1182,3.93
1185,4.1
1188,4.05
1191,3.94
1194,3.93
1197,4.02
1200,4.19
1203,4.29
1206,4.52
1209,4.55
1212,4.47
1215,4.43
1218,4.39
1221,4.28
1224,4.07
1227,4.06
1230,3.78
1233,3.56
1236,3.53
1239,3.42
1242,3.04
1245,3.78
1248,4.25
1251,4.35
1254,4.25
1257,4.16
1260,4.06
1263,4.17
